transaction_id,user_id,timestamp,amount,merchant_category,location,device_id,transaction_type,avg_user_amount,transaction_frequency,time_since_last_txn,is_foreign_transaction,is_high_risk_merchant,fraud_label
T0,U1878,2026-03-26 14:31:37.165455,168,luxury,Canada,D38,debit,1037,2,71,1,1,1
T1,U1221,2026-03-18 02:08:37.165512,1325,subscriptions,UAE,D44,debit,1228,4,12,1,0,0
T2,U1616,2026-03-16 15:39:37.165534,313,travel,Canada,D42,credit,209,3,32,1,0,0
T3,U1391,2026-03-28 00:53:37.165547,594,groceries,Canada,D26,credit,1464,2,40,1,0,0
T4,U1803,2026-03-27 04:59:37.165560,1600,electronics,UAE,D43,credit,1870,7,118,1,1,1
T5,U1895,2026-03-25 10:14:37.165571,1539,food,UAE,D26,credit,957,16,49,1,0,0
T6,U1043,2026-03-18 10:33:37.165583,284,groceries,Germany,D40,debit,549,1,83,1,0,0
T7,U1185,2026-04-03 07:33:37.165593,195,electronics,India,D36,debit,1343,15,15,1,1,0
T8,U1009,2026-03-28 06:08:37.165604,2383,groceries,India,D4,credit,1550,20,81,0,0,0
T9,U1837,2026-03-15 14:19:37.165615,445,subscriptions,India,D20,debit,344,2,65,1,0,0
T10,U1663,2026-03-05 23:49:37.165626,396,jewelry,Canada,D25,debit,260,15,100,0,1,0
T11,U1822,2026-03-14 06:37:37.165636,652,food,India,D50,credit,969,10,108,0,0,0
T12,U1857,2026-03-17 02:58:37.165646,778,food,Germany,D33,credit,1080,3,102,0,0,0
T13,U1783,2026-03-02 13:33:37.165656,64,electronics,USA,D3,credit,723,2,43,1,1,1
T14,U1552,2026-03-02 08:28:37.165666,1446,jewelry,UAE,D10,debit,1072,4,38,0,1,0
T15,U1789,2026-03-02 10:47:37.165675,355,jewelry,USA,D21,debit,318,5,94,1,1,0
T16,U1870,2026-03-09 15:13:37.165685,227,food,UK,D11,credit,526,18,27,1,0,0
T17,U1770,2026-04-02 20:05:37.165697,102,travel,UAE,D18,credit,149,8,38,0,0,0
T18,U1596,2026-04-01 16:46:37.165723,427,electronics,Germany,D8,credit,294,13,97,1,1,0
T19,U1837,2026-03-20 22:06:37.165742,1626,electronics,India,D40,debit,1505,1,68,1,1,1
T20,U1888,2026-04-01 02:09:37.165753,685,groceries,Germany,D41,credit,198,12,29,0,0,1
T21,U1438,2026-03-11 21:06:37.165763,92,groceries,India,D31,debit,1364,18,117,1,0,0
T22,U1289,2026-03-15 20:59:37.165773,1476,food,Canada,D21,credit,1199,2,41,1,0,0
T23,U1146,2026-03-25 23:20:37.165782,2659,groceries,Canada,D12,credit,1686,11,15,1,0,0
T24,U1318,2026-03-10 23:11:37.165793,606,food,Canada,D5,debit,1715,9,7,0,0,0
